WaitType,Time,MillisecondsWaiting
Replication,2018-01-30T14:00:00Z,0
SQL CLR,2018-01-30T14:00:00Z,0
Service Broker,2018-01-30T14:00:00Z,0
Tracing,2018-01-30T14:00:00Z,492
Tran Log IO,2018-01-30T14:00:00Z,1525793
Transaction,2018-01-30T14:00:00Z,0
Worker Thread,2018-01-30T14:00:00Z,0
Buffer IO,2018-01-30T15:00:00Z,362149
Buffer Latch,2018-01-30T15:00:00Z,136588
CPU,2018-01-30T15:00:00Z,3302845
Latch,2018-01-30T15:00:00Z,453
Lock,2018-01-30T15:00:00Z,24989
Memory,2018-01-30T15:00:00Z,37663
Network IO,2018-01-30T15:00:00Z,29
OTHER,2018-01-30T15:00:00Z,15216973
Other Disk IO,2018-01-30T15:00:00Z,64079
Parallelism,2018-01-30T15:00:00Z,2196301
Preemptive,2018-01-30T15:00:00Z,34643
Replication,2018-01-30T15:00:00Z,0
SQL CLR,2018-01-30T15:00:00Z,0
Service Broker,2018-01-30T15:00:00Z,3
Tracing,2018-01-30T15:00:00Z,60
Tran Log IO,2018-01-30T15:00:00Z,1156551
Transaction,2018-01-30T15:00:00Z,0
Worker Thread,2018-01-30T15:00:00Z,239
Buffer IO,2018-01-30T16:00:00Z,290042
Buffer Latch,2018-01-30T16:00:00Z,279749
CPU,2018-01-30T16:00:00Z,3032720
Latch,2018-01-30T16:00:00Z,163
Lock,2018-01-30T16:00:00Z,80340
Memory,2018-01-30T16:00:00Z,29136
Network IO,2018-01-30T16:00:00Z,29
OTHER,2018-01-30T16:00:00Z,13572041
Other Disk IO,2018-01-30T16:00:00Z,12533
Parallelism,2018-01-30T16:00:00Z,2063398
Preemptive,2018-01-30T16:00:00Z,28848
Replication,2018-01-30T16:00:00Z,0
SQL CLR,2018-01-30T16:00:00Z,0
Service Broker,2018-01-30T16:00:00Z,0
Tracing,2018-01-30T16:00:00Z,0
Tran Log IO,2018-01-30T16:00:00Z,1048163
Transaction,2018-01-30T16:00:00Z,0
Worker Thread,2018-01-30T16:00:00Z,0
Buffer IO,2018-01-30T17:00:00Z,364852
Buffer Latch,2018-01-30T17:00:00Z,325823
CPU,2018-01-30T17:00:00Z,4149819
Latch,2018-01-30T17:00:00Z,445
Lock,2018-01-30T17:00:00Z,80673
Memory,2018-01-30T17:00:00Z,39032
Network IO,2018-01-30T17:00:00Z,50
OTHER,2018-01-30T17:00:00Z,13258271
Other Disk IO,2018-01-30T17:00:00Z,7900
Parallelism,2018-01-30T17:00:00Z,2402020
Preemptive,2018-01-30T17:00:00Z,41611
Replication,2018-01-30T17:00:00Z,0
SQL CLR,2018-01-30T17:00:00Z,0
Service Broker,2018-01-30T17:00:00Z,0
Tracing,2018-01-30T17:00:00Z,247
Tran Log IO,2018-01-30T17:00:00Z,1329700
Transaction,2018-01-30T17:00:00Z,0
Worker Thread,2018-01-30T17:00:00Z,13
Buffer IO,2018-01-30T18:00:00Z,234230
Buffer Latch,2018-01-30T18:00:00Z,155156
CPU,2018-01-30T18:00:00Z,2610708
Latch,2018-01-30T18:00:00Z,2960
Lock,2018-01-30T18:00:00Z,7908
Memory,2018-01-30T18:00:00Z,26164
Network IO,2018-01-30T18:00:00Z,42
OTHER,2018-01-30T18:00:00Z,13828011
Other Disk IO,2018-01-30T18:00:00Z,11283
Parallelism,2018-01-30T18:00:00Z,1949026
Preemptive,2018-01-30T18:00:00Z,41670
Replication,2018-01-30T18:00:00Z,0
SQL CLR,2018-01-30T18:00:00Z,0
Service Broker,2018-01-30T18:00:00Z,0
Tracing,2018-01-30T18:00:00Z,103
Tran Log IO,2018-01-30T18:00:00Z,867770
Transaction,2018-01-30T18:00:00Z,0
Worker Thread,2018-01-30T18:00:00Z,5
Buffer IO,2018-01-30T19:00:00Z,328959
Buffer Latch,2018-01-30T19:00:00Z,119253
CPU,2018-01-30T19:00:00Z,3935529
Latch,2018-01-30T19:00:00Z,155
Lock,2018-01-30T19:00:00Z,181672
Memory,2018-01-30T19:00:00Z,43321
Network IO,2018-01-30T19:00:00Z,30
OTHER,2018-01-30T19:00:00Z,14242236
Other Disk IO,2018-01-30T19:00:00Z,9574
Parallelism,2018-01-30T19:00:00Z,2398398
Preemptive,2018-01-30T19:00:00Z,40555
Replication,2018-01-30T19:00:00Z,0
SQL CLR,2018-01-30T19:00:00Z,0
Service Broker,2018-01-30T19:00:00Z,0
Tracing,2018-01-30T19:00:00Z,219
Tran Log IO,2018-01-30T19:00:00Z,1058473
Transaction,2018-01-30T19:00:00Z,0
Worker Thread,2018-01-30T19:00:00Z,11
Buffer IO,2018-01-30T20:00:00Z,401049
Buffer Latch,2018-01-30T20:00:00Z,159369
CPU,2018-01-30T20:00:00Z,2987368
Latch,2018-01-30T20:00:00Z,2506
Lock,2018-01-30T20:00:00Z,761267
Memory,2018-01-30T20:00:00Z,34694
Network IO,2018-01-30T20:00:00Z,293011
OTHER,2018-01-30T20:00:00Z,13858550
Other Disk IO,2018-01-30T20:00:00Z,10398
Parallelism,2018-01-30T20:00:00Z,14461724
Preemptive,2018-01-30T20:00:00Z,25953
Replication,2018-01-30T20:00:00Z,0
SQL CLR,2018-01-30T20:00:00Z,0
Service Broker,2018-01-30T20:00:00Z,0
Tracing,2018-01-30T20:00:00Z,228
Tran Log IO,2018-01-30T20:00:00Z,1215845
Transaction,2018-01-30T20:00:00Z,0
Worker Thread,2018-01-30T20:00:00Z,322
Buffer IO,2018-01-30T21:00:00Z,216981
Buffer Latch,2018-01-30T21:00:00Z,210824
CPU,2018-01-30T21:00:00Z,2758944
Latch,2018-01-30T21:00:00Z,92
Lock,2018-01-30T21:00:00Z,392927
Memory,2018-01-30T21:00:00Z,28652
Network IO,2018-01-30T21:00:00Z,42
OTHER,2018-01-30T21:00:00Z,13197710
Other Disk IO,2018-01-30T21:00:00Z,7932
Parallelism,2018-01-30T21:00:00Z,2592932
Preemptive,2018-01-30T21:00:00Z,25463
Replication,2018-01-30T21:00:00Z,0
SQL CLR,2018-01-30T21:00:00Z,0
Service Broker,2018-01-30T21:00:00Z,0
Tracing,2018-01-30T21:00:00Z,454
Tran Log IO,2018-01-30T21:00:00Z,1077689
Transaction,2018-01-30T21:00:00Z,0
Worker Thread,2018-01-30T21:00:00Z,0
Buffer IO,2018-01-30T22:00:00Z,136488
Buffer Latch,2018-01-30T22:00:00Z,213337
CPU,2018-01-30T22:00:00Z,3037151
Latch,2018-01-30T22:00:00Z,97
Lock,2018-01-30T22:00:00Z,672073
Memory,2018-01-30T22:00:00Z,26896
Network IO,2018-01-30T22:00:00Z,46
OTHER,2018-01-30T22:00:00Z,13967234
Other Disk IO,2018-01-30T22:00:00Z,8675
Parallelism,2018-01-30T22:00:00Z,1878458
Preemptive,2018-01-30T22:00:00Z,27102
Replication,2018-01-30T22:00:00Z,0
SQL CLR,2018-01-30T22:00:00Z,0
Service Broker,2018-01-30T22:00:00Z,0
Tracing,2018-01-30T22:00:00Z,1
Tran Log IO,2018-01-30T22:00:00Z,962249
Transaction,2018-01-30T22:00:00Z,0
Worker Thread,2018-01-30T22:00:00Z,84
Buffer IO,2018-01-30T23:00:00Z,194188
Buffer Latch,2018-01-30T23:00:00Z,103025
CPU,2018-01-30T23:00:00Z,2970165
Latch,2018-01-30T23:00:00Z,270
Lock,2018-01-30T23:00:00Z,2148351
Memory,2018-01-30T23:00:00Z,26665
Network IO,2018-01-30T23:00:00Z,35
OTHER,2018-01-30T23:00:00Z,15547322
Other Disk IO,2018-01-30T23:00:00Z,9081
Parallelism,2018-01-30T23:00:00Z,2216071
Preemptive,2018-01-30T23:00:00Z,31827
Replication,2018-01-30T23:00:00Z,0
SQL CLR,2018-01-30T23:00:00Z,0
Service Broker,2018-01-30T23:00:00Z,0
Tracing,2018-01-30T23:00:00Z,0
Tran Log IO,2018-01-30T23:00:00Z,1056321
Transaction,2018-01-30T23:00:00Z,0
Worker Thread,2018-01-30T23:00:00Z,4
Buffer IO,2018-01-31T00:00:00Z,215923
Buffer Latch,2018-01-31T00:00:00Z,80521
CPU,2018-01-31T00:00:00Z,3348785
Latch,2018-01-31T00:00:00Z,134
Lock,2018-01-31T00:00:00Z,3630795
Memory,2018-01-31T00:00:00Z,29148
Network IO,2018-01-31T00:00:00Z,44
OTHER,2018-01-31T00:00:00Z,16723551
Other Disk IO,2018-01-31T00:00:00Z,7007
Parallelism,2018-01-31T00:00:00Z,860186
Preemptive,2018-01-31T00:00:00Z,41884
Replication,2018-01-31T00:00:00Z,0
SQL CLR,2018-01-31T00:00:00Z,0
Service Broker,2018-01-31T00:00:00Z,0
Tracing,2018-01-31T00:00:00Z,4
Tran Log IO,2018-01-31T00:00:00Z,902572
Transaction,2018-01-31T00:00:00Z,0
Worker Thread,2018-01-31T00:00:00Z,0
Buffer IO,2018-01-31T01:00:00Z,168405
Buffer Latch,2018-01-31T01:00:00Z,78711
CPU,2018-01-31T01:00:00Z,2643791
Latch,2018-01-31T01:00:00Z,75
Lock,2018-01-31T01:00:00Z,1929772
Memory,2018-01-31T01:00:00Z,34131
Network IO,2018-01-31T01:00:00Z,42
OTHER,2018-01-31T01:00:00Z,18294560
Other Disk IO,2018-01-31T01:00:00Z,9098
Parallelism,2018-01-31T01:00:00Z,879720
Preemptive,2018-01-31T01:00:00Z,41698
Replication,2018-01-31T01:00:00Z,0
SQL CLR,2018-01-31T01:00:00Z,0
Service Broker,2018-01-31T01:00:00Z,0
Tracing,2018-01-31T01:00:00Z,579
Tran Log IO,2018-01-31T01:00:00Z,876583
Transaction,2018-01-31T01:00:00Z,0
Worker Thread,2018-01-31T01:00:00Z,36
Buffer IO,2018-01-31T02:00:00Z,169506
Buffer Latch,2018-01-31T02:00:00Z,104603
CPU,2018-01-31T02:00:00Z,2476071
Latch,2018-01-31T02:00:00Z,52
Lock,2018-01-31T02:00:00Z,934801
Memory,2018-01-31T02:00:00Z,28566
Network IO,2018-01-31T02:00:00Z,41
OTHER,2018-01-31T02:00:00Z,16534168
Other Disk IO,2018-01-31T02:00:00Z,5832
Parallelism,2018-01-31T02:00:00Z,929429
Preemptive,2018-01-31T02:00:00Z,38016
Replication,2018-01-31T02:00:00Z,0
SQL CLR,2018-01-31T02:00:00Z,0
Service Broker,2018-01-31T02:00:00Z,0
Tracing,2018-01-31T02:00:00Z,66
Tran Log IO,2018-01-31T02:00:00Z,836736
Transaction,2018-01-31T02:00:00Z,0
Worker Thread,2018-01-31T02:00:00Z,167
Buffer IO,2018-01-31T03:00:00Z,210261
Buffer Latch,2018-01-31T03:00:00Z,98841
CPU,2018-01-31T03:00:00Z,2649033
Latch,2018-01-31T03:00:00Z,170
Lock,2018-01-31T03:00:00Z,602797
Memory,2018-01-31T03:00:00Z,36970
Network IO,2018-01-31T03:00:00Z,10
OTHER,2018-01-31T03:00:00Z,17291746
Other Disk IO,2018-01-31T03:00:00Z,17143
Parallelism,2018-01-31T03:00:00Z,1006621
Preemptive,2018-01-31T03:00:00Z,49607
Replication,2018-01-31T03:00:00Z,0
SQL CLR,2018-01-31T03:00:00Z,0
Service Broker,2018-01-31T03:00:00Z,0
Tracing,2018-01-31T03:00:00Z,387
Tran Log IO,2018-01-31T03:00:00Z,930073
Transaction,2018-01-31T03:00:00Z,0
Worker Thread,2018-01-31T03:00:00Z,0
Buffer IO,2018-01-31T04:00:00Z,199465
Buffer Latch,2018-01-31T04:00:00Z,118001
CPU,2018-01-31T04:00:00Z,2728720
Latch,2018-01-31T04:00:00Z,180
Lock,2018-01-31T04:00:00Z,987803
Memory,2018-01-31T04:00:00Z,28432
Network IO,2018-01-31T04:00:00Z,24
OTHER,2018-01-31T04:00:00Z,16276839
Other Disk IO,2018-01-31T04:00:00Z,19226
Parallelism,2018-01-31T04:00:00Z,979197
Preemptive,2018-01-31T04:00:00Z,35742
Replication,2018-01-31T04:00:00Z,0
SQL CLR,2018-01-31T04:00:00Z,0
Service Broker,2018-01-31T04:00:00Z,0
Tracing,2018-01-31T04:00:00Z,625
Tran Log IO,2018-01-31T04:00:00Z,808477
Transaction,2018-01-31T04:00:00Z,0
Worker Thread,2018-01-31T04:00:00Z,21
Buffer IO,2018-01-31T05:00:00Z,335502
Buffer Latch,2018-01-31T05:00:00Z,109295
CPU,2018-01-31T05:00:00Z,2166829
Latch,2018-01-31T05:00:00Z,15566
Lock,2018-01-31T05:00:00Z,696356
Memory,2018-01-31T05:00:00Z,18812
Network IO,2018-01-31T05:00:00Z,44
OTHER,2018-01-31T05:00:00Z,10680980
Other Disk IO,2018-01-31T05:00:00Z,375754
Parallelism,2018-01-31T05:00:00Z,842646
Preemptive,2018-01-31T05:00:00Z,16725
Replication,2018-01-31T05:00:00Z,0
SQL CLR,2018-01-31T05:00:00Z,0
Service Broker,2018-01-31T05:00:00Z,0
Tracing,2018-01-31T05:00:00Z,220
Tran Log IO,2018-01-31T05:00:00Z,594205
Transaction,2018-01-31T05:00:00Z,0
Worker Thread,2018-01-31T05:00:00Z,8
Buffer IO,2018-01-31T06:00:00Z,347170
Buffer Latch,2018-01-31T06:00:00Z,104147
CPU,2018-01-31T06:00:00Z,2313037
Latch,2018-01-31T06:00:00Z,25
Lock,2018-01-31T06:00:00Z,811993
Memory,2018-01-31T06:00:00Z,25476
Network IO,2018-01-31T06:00:00Z,72
OTHER,2018-01-31T06:00:00Z,14783898
Other Disk IO,2018-01-31T06:00:00Z,7957
Parallelism,2018-01-31T06:00:00Z,996337
Preemptive,2018-01-31T06:00:00Z,22974
Replication,2018-01-31T06:00:00Z,0
SQL CLR,2018-01-31T06:00:00Z,0
Service Broker,2018-01-31T06:00:00Z,0
Tracing,2018-01-31T06:00:00Z,675
Tran Log IO,2018-01-31T06:00:00Z,729118
Transaction,2018-01-31T06:00:00Z,0
Worker Thread,2018-01-31T06:00:00Z,61
Buffer IO,2018-01-31T07:00:00Z,317173
Buffer Latch,2018-01-31T07:00:00Z,131757
CPU,2018-01-31T07:00:00Z,2750619
Latch,2018-01-31T07:00:00Z,689
Lock,2018-01-31T07:00:00Z,769483
Memory,2018-01-31T07:00:00Z,24636
Network IO,2018-01-31T07:00:00Z,25
OTHER,2018-01-31T07:00:00Z,14688581
Other Disk IO,2018-01-31T07:00:00Z,290766
Parallelism,2018-01-31T07:00:00Z,1282923
Preemptive,2018-01-31T07:00:00Z,25973
Replication,2018-01-31T07:00:00Z,0
SQL CLR,2018-01-31T07:00:00Z,0
Service Broker,2018-01-31T07:00:00Z,0
Tracing,2018-01-31T07:00:00Z,718
Tran Log IO,2018-01-31T07:00:00Z,863452
Transaction,2018-01-31T07:00:00Z,0
Worker Thread,2018-01-31T07:00:00Z,0
Buffer IO,2018-01-31T08:00:00Z,200635
Buffer Latch,2018-01-31T08:00:00Z,195527
CPU,2018-01-31T08:00:00Z,2648600
Latch,2018-01-31T08:00:00Z,29
Lock,2018-01-31T08:00:00Z,0
Memory,2018-01-31T08:00:00Z,26054
Network IO,2018-01-31T08:00:00Z,110
OTHER,2018-01-31T08:00:00Z,14857844
Other Disk IO,2018-01-31T08:00:00Z,5992
Parallelism,2018-01-31T08:00:00Z,1008213
Preemptive,2018-01-31T08:00:00Z,32462
Replication,2018-01-31T08:00:00Z,0
SQL CLR,2018-01-31T08:00:00Z,0
Service Broker,2018-01-31T08:00:00Z,0
Tracing,2018-01-31T08:00:00Z,368
Tran Log IO,2018-01-31T08:00:00Z,944809
Transaction,2018-01-31T08:00:00Z,0
Worker Thread,2018-01-31T08:00:00Z,458
Buffer IO,2018-01-31T09:00:00Z,256999
Buffer Latch,2018-01-31T09:00:00Z,171607
CPU,2018-01-31T09:00:00Z,3050162
Latch,2018-01-31T09:00:00Z,65
Lock,2018-01-31T09:00:00Z,811918
Memory,2018-01-31T09:00:00Z,24462
Network IO,2018-01-31T09:00:00Z,46
OTHER,2018-01-31T09:00:00Z,15676480
Other Disk IO,2018-01-31T09:00:00Z,4221
Parallelism,2018-01-31T09:00:00Z,942088
Preemptive,2018-01-31T09:00:00Z,35883
Replication,2018-01-31T09:00:00Z,0
SQL CLR,2018-01-31T09:00:00Z,0
Service Broker,2018-01-31T09:00:00Z,0
Tracing,2018-01-31T09:00:00Z,230
Tran Log IO,2018-01-31T09:00:00Z,1009148
Transaction,2018-01-31T09:00:00Z,0
Worker Thread,2018-01-31T09:00:00Z,302
Buffer IO,2018-01-31T10:00:00Z,225924
Buffer Latch,2018-01-31T10:00:00Z,85151
CPU,2018-01-31T10:00:00Z,2189486
Latch,2018-01-31T10:00:00Z,46
Lock,2018-01-31T10:00:00Z,1846934
Memory,2018-01-31T10:00:00Z,23311
Network IO,2018-01-31T10:00:00Z,18
OTHER,2018-01-31T10:00:00Z,14416258
Other Disk IO,2018-01-31T10:00:00Z,5627
Parallelism,2018-01-31T10:00:00Z,874460
Preemptive,2018-01-31T10:00:00Z,27476
Replication,2018-01-31T10:00:00Z,0
SQL CLR,2018-01-31T10:00:00Z,0
Service Broker,2018-01-31T10:00:00Z,0
Tracing,2018-01-31T10:00:00Z,648
Tran Log IO,2018-01-31T10:00:00Z,833552
Transaction,2018-01-31T10:00:00Z,0
Worker Thread,2018-01-31T10:00:00Z,0
Buffer IO,2018-01-31T11:00:00Z,426971
Buffer Latch,2018-01-31T11:00:00Z,121415
CPU,2018-01-31T11:00:00Z,3973818
Latch,2018-01-31T11:00:00Z,413
Lock,2018-01-31T11:00:00Z,3295989
Memory,2018-01-31T11:00:00Z,41364
Network IO,2018-01-31T11:00:00Z,33
OTHER,2018-01-31T11:00:00Z,16745182
Other Disk IO,2018-01-31T11:00:00Z,6918
Parallelism,2018-01-31T11:00:00Z,2535903
Preemptive,2018-01-31T11:00:00Z,44908
Replication,2018-01-31T11:00:00Z,0
SQL CLR,2018-01-31T11:00:00Z,0
Service Broker,2018-01-31T11:00:00Z,0
Tracing,2018-01-31T11:00:00Z,636
Tran Log IO,2018-01-31T11:00:00Z,1196337
Transaction,2018-01-31T11:00:00Z,0
Worker Thread,2018-01-31T11:00:00Z,31
Buffer IO,2018-01-31T12:00:00Z,205324
Buffer Latch,2018-01-31T12:00:00Z,63896
CPU,2018-01-31T12:00:00Z,2645690
Latch,2018-01-31T12:00:00Z,232
Lock,2018-01-31T12:00:00Z,3114896
Memory,2018-01-31T12:00:00Z,26095
Network IO,2018-01-31T12:00:00Z,60
OTHER,2018-01-31T12:00:00Z,17106000
Other Disk IO,2018-01-31T12:00:00Z,9340
Parallelism,2018-01-31T12:00:00Z,999846
Preemptive,2018-01-31T12:00:00Z,37964
Replication,2018-01-31T12:00:00Z,0
SQL CLR,2018-01-31T12:00:00Z,0
Service Broker,2018-01-31T12:00:00Z,0
Tracing,2018-01-31T12:00:00Z,293
Tran Log IO,2018-01-31T12:00:00Z,955020
Transaction,2018-01-31T12:00:00Z,0
Worker Thread,2018-01-31T12:00:00Z,19
Buffer IO,2018-01-31T13:00:00Z,322076
Buffer Latch,2018-01-31T13:00:00Z,99807
CPU,2018-01-31T13:00:00Z,4105096
Latch,2018-01-31T13:00:00Z,153
Lock,2018-01-31T13:00:00Z,3624730
Memory,2018-01-31T13:00:00Z,35831
Network IO,2018-01-31T13:00:00Z,30
OTHER,2018-01-31T13:00:00Z,16605192
Other Disk IO,2018-01-31T13:00:00Z,10084
Parallelism,2018-01-31T13:00:00Z,1539049
Preemptive,2018-01-31T13:00:00Z,47925
Replication,2018-01-31T13:00:00Z,0
SQL CLR,2018-01-31T13:00:00Z,0
Service Broker,2018-01-31T13:00:00Z,0
Tracing,2018-01-31T13:00:00Z,623
Tran Log IO,2018-01-31T13:00:00Z,901107
Transaction,2018-01-31T13:00:00Z,0
Worker Thread,2018-01-31T13:00:00Z,0
Buffer IO,2018-01-31T14:00:00Z,566002
Buffer Latch,2018-01-31T14:00:00Z,141748
CPU,2018-01-31T14:00:00Z,3696455
Latch,2018-01-31T14:00:00Z,81809
Lock,2018-01-31T14:00:00Z,3530900
Memory,2018-01-31T14:00:00Z,27088
Network IO,2018-01-31T14:00:00Z,3374
OTHER,2018-01-31T14:00:00Z,17328688
Other Disk IO,2018-01-31T14:00:00Z,21273
Parallelism,2018-01-31T14:00:00Z,5738626
Preemptive,2018-01-31T14:00:00Z,38049
Replication,2018-01-31T14:00:00Z,0
SQL CLR,2018-01-31T14:00:00Z,0
Service Broker,2018-01-31T14:00:00Z,0
Tracing,2018-01-31T14:00:00Z,99
Tran Log IO,2018-01-31T14:00:00Z,1585930
Transaction,2018-01-31T14:00:00Z,3004
Worker Thread,2018-01-31T14:00:00Z,0
Buffer IO,2018-01-31T15:00:00Z,2100117
Buffer Latch,2018-01-31T15:00:00Z,80541
CPU,2018-01-31T15:00:00Z,5698935
Latch,2018-01-31T15:00:00Z,58831
Lock,2018-01-31T15:00:00Z,4280675
Memory,2018-01-31T15:00:00Z,40948
Network IO,2018-01-31T15:00:00Z,2681
OTHER,2018-01-31T15:00:00Z,19742469
Other Disk IO,2018-01-31T15:00:00Z,77730
Parallelism,2018-01-31T15:00:00Z,11078834
Preemptive,2018-01-31T15:00:00Z,60440
Replication,2018-01-31T15:00:00Z,0
SQL CLR,2018-01-31T15:00:00Z,0
Service Broker,2018-01-31T15:00:00Z,0
Tracing,2018-01-31T15:00:00Z,690
Tran Log IO,2018-01-31T15:00:00Z,1682548
Transaction,2018-01-31T15:00:00Z,0
Worker Thread,2018-01-31T15:00:00Z,3
Buffer IO,2018-01-31T16:00:00Z,742030
Buffer Latch,2018-01-31T16:00:00Z,53893
CPU,2018-01-31T16:00:00Z,2741382
Latch,2018-01-31T16:00:00Z,24683
Lock,2018-01-31T16:00:00Z,1626685
Memory,2018-01-31T16:00:00Z,17355
Network IO,2018-01-31T16:00:00Z,21464
OTHER,2018-01-31T16:00:00Z,14536786
Other Disk IO,2018-01-31T16:00:00Z,14810
Parallelism,2018-01-31T16:00:00Z,1598684
Preemptive,2018-01-31T16:00:00Z,32416
Replication,2018-01-31T16:00:00Z,0
SQL CLR,2018-01-31T16:00:00Z,0
Service Broker,2018-01-31T16:00:00Z,0
Tracing,2018-01-31T16:00:00Z,80
Tran Log IO,2018-01-31T16:00:00Z,993731
Transaction,2018-01-31T16:00:00Z,0
Worker Thread,2018-01-31T16:00:00Z,47
Buffer IO,2018-01-31T18:00:00Z,105356
Buffer Latch,2018-01-31T18:00:00Z,44553
CPU,2018-01-31T18:00:00Z,308172
Latch,2018-01-31T18:00:00Z,250
Lock,2018-01-31T18:00:00Z,26787
Memory,2018-01-31T18:00:00Z,71996
Network IO,2018-01-31T18:00:00Z,108711
OTHER,2018-01-31T18:00:00Z,23650059
Other Disk IO,2018-01-31T18:00:00Z,403654
Parallelism,2018-01-31T18:00:00Z,11063682
Preemptive,2018-01-31T18:00:00Z,6990
Replication,2018-01-31T18:00:00Z,0
SQL CLR,2018-01-31T18:00:00Z,0
Service Broker,2018-01-31T18:00:00Z,0
Tracing,2018-01-31T18:00:00Z,5
Tran Log IO,2018-01-31T18:00:00Z,408873
Worker Thread,2018-01-31T18:00:00Z,1
Buffer IO,2018-01-31T19:00:00Z,285422
Buffer Latch,2018-01-31T19:00:00Z,23506
CPU,2018-01-31T19:00:00Z,755371
Latch,2018-01-31T19:00:00Z,0
Lock,2018-01-31T19:00:00Z,0
Memory,2018-01-31T19:00:00Z,13495
Network IO,2018-01-31T19:00:00Z,27
OTHER,2018-01-31T19:00:00Z,23918568
Other Disk IO,2018-01-31T19:00:00Z,49004
Parallelism,2018-01-31T19:00:00Z,394585
Preemptive,2018-01-31T19:00:00Z,15328
Replication,2018-01-31T19:00:00Z,0
SQL CLR,2018-01-31T19:00:00Z,0
Service Broker,2018-01-31T19:00:00Z,0
Tracing,2018-01-31T19:00:00Z,76
Tran Log IO,2018-01-31T19:00:00Z,687114
Worker Thread,2018-01-31T19:00:00Z,55
Buffer IO,2018-01-31T20:00:00Z,164420
Buffer Latch,2018-01-31T20:00:00Z,50
CPU,2018-01-31T20:00:00Z,295692
Latch,2018-01-31T20:00:00Z,0
Lock,2018-01-31T20:00:00Z,53258
Memory,2018-01-31T20:00:00Z,6546
Network IO,2018-01-31T20:00:00Z,44
OTHER,2018-01-31T20:00:00Z,24423594
Other Disk IO,2018-01-31T20:00:00Z,0
Parallelism,2018-01-31T20:00:00Z,0
Preemptive,2018-01-31T20:00:00Z,9702
Replication,2018-01-31T20:00:00Z,0
SQL CLR,2018-01-31T20:00:00Z,0
Service Broker,2018-01-31T20:00:00Z,0
Tracing,2018-01-31T20:00:00Z,26
Tran Log IO,2018-01-31T20:00:00Z,639048
Worker Thread,2018-01-31T20:00:00Z,0
Buffer IO,2018-01-31T21:00:00Z,126375
Buffer Latch,2018-01-31T21:00:00Z,4276
CPU,2018-01-31T21:00:00Z,142426
Latch,2018-01-31T21:00:00Z,0
Lock,2018-01-31T21:00:00Z,29
Memory,2018-01-31T21:00:00Z,6425
Network IO,2018-01-31T21:00:00Z,50
OTHER,2018-01-31T21:00:00Z,25554851
Other Disk IO,2018-01-31T21:00:00Z,0
Parallelism,2018-01-31T21:00:00Z,0
Preemptive,2018-01-31T21:00:00Z,5236
Replication,2018-01-31T21:00:00Z,0
SQL CLR,2018-01-31T21:00:00Z,0
Service Broker,2018-01-31T21:00:00Z,0
Tracing,2018-01-31T21:00:00Z,3
Tran Log IO,2018-01-31T21:00:00Z,495362
Worker Thread,2018-01-31T21:00:00Z,0
Buffer IO,2018-01-31T22:00:00Z,139968
Buffer Latch,2018-01-31T22:00:00Z,24200
CPU,2018-01-31T22:00:00Z,263436
Latch,2018-01-31T22:00:00Z,0
Lock,2018-01-31T22:00:00Z,44073
Memory,2018-01-31T22:00:00Z,7992
Network IO,2018-01-31T22:00:00Z,27
OTHER,2018-01-31T22:00:00Z,29526939
Other Disk IO,2018-01-31T22:00:00Z,0
Parallelism,2018-01-31T22:00:00Z,0
Preemptive,2018-01-31T22:00:00Z,8280
Replication,2018-01-31T22:00:00Z,0
SQL CLR,2018-01-31T22:00:00Z,0
Service Broker,2018-01-31T22:00:00Z,0
Tracing,2018-01-31T22:00:00Z,1
Tran Log IO,2018-01-31T22:00:00Z,719145
Worker Thread,2018-01-31T22:00:00Z,3
Buffer IO,2018-01-31T23:00:00Z,121527
Buffer Latch,2018-01-31T23:00:00Z,12169
CPU,2018-01-31T23:00:00Z,152482
Latch,2018-01-31T23:00:00Z,0
Lock,2018-01-31T23:00:00Z,47684
Memory,2018-01-31T23:00:00Z,8872
Network IO,2018-01-31T23:00:00Z,32
OTHER,2018-01-31T23:00:00Z,33066013
Other Disk IO,2018-01-31T23:00:00Z,1
Parallelism,2018-01-31T23:00:00Z,0
Preemptive,2018-01-31T23:00:00Z,20640
Replication,2018-01-31T23:00:00Z,0
SQL CLR,2018-01-31T23:00:00Z,0
Service Broker,2018-01-31T23:00:00Z,0
Tracing,2018-01-31T23:00:00Z,7
Tran Log IO,2018-01-31T23:00:00Z,550087
Worker Thread,2018-01-31T23:00:00Z,5
Buffer IO,2018-02-01T00:00:00Z,136304
Buffer Latch,2018-02-01T00:00:00Z,19094
CPU,2018-02-01T00:00:00Z,99381
Latch,2018-02-01T00:00:00Z,0
Lock,2018-02-01T00:00:00Z,37303
Memory,2018-02-01T00:00:00Z,8702
Network IO,2018-02-01T00:00:00Z,29
OTHER,2018-02-01T00:00:00Z,31368647
Other Disk IO,2018-02-01T00:00:00Z,0
Parallelism,2018-02-01T00:00:00Z,0
Preemptive,2018-02-01T00:00:00Z,9626
Replication,2018-02-01T00:00:00Z,0
SQL CLR,2018-02-01T00:00:00Z,0
Service Broker,2018-02-01T00:00:00Z,0
Tracing,2018-02-01T00:00:00Z,0
Tran Log IO,2018-02-01T00:00:00Z,685759
Worker Thread,2018-02-01T00:00:00Z,1
Buffer IO,2018-02-01T01:00:00Z,135240
