WaitType,Time,MillisecondsWaiting
Preemptive,2018-01-13T08:00:00Z,36140
Replication,2018-01-13T08:00:00Z,0
SQL CLR,2018-01-13T08:00:00Z,0
Service Broker,2018-01-13T08:00:00Z,0
Tracing,2018-01-13T08:00:00Z,109
Tran Log IO,2018-01-13T08:00:00Z,1246262
Transaction,2018-01-13T08:00:00Z,0
Worker Thread,2018-01-13T08:00:00Z,37
Buffer IO,2018-01-13T09:00:00Z,154377
Buffer Latch,2018-01-13T09:00:00Z,10480
CPU,2018-01-13T09:00:00Z,1740404
Latch,2018-01-13T09:00:00Z,656963
Lock,2018-01-13T09:00:00Z,0
Memory,2018-01-13T09:00:00Z,18222
Network IO,2018-01-13T09:00:00Z,141
OTHER,2018-01-13T09:00:00Z,52048666
Other Disk IO,2018-01-13T09:00:00Z,18779
Parallelism,2018-01-13T09:00:00Z,759175
Preemptive,2018-01-13T09:00:00Z,47629
Replication,2018-01-13T09:00:00Z,0
SQL CLR,2018-01-13T09:00:00Z,0
Service Broker,2018-01-13T09:00:00Z,0
Tracing,2018-01-13T09:00:00Z,52
Tran Log IO,2018-01-13T09:00:00Z,1065217
Transaction,2018-01-13T09:00:00Z,0
Worker Thread,2018-01-13T09:00:00Z,36
Buffer IO,2018-01-13T10:00:00Z,154280
Buffer Latch,2018-01-13T10:00:00Z,4824
CPU,2018-01-13T10:00:00Z,1476045
Latch,2018-01-13T10:00:00Z,239436
Lock,2018-01-13T10:00:00Z,34387
Memory,2018-01-13T10:00:00Z,15341
Network IO,2018-01-13T10:00:00Z,187
OTHER,2018-01-13T10:00:00Z,51997029
Other Disk IO,2018-01-13T10:00:00Z,25568
Parallelism,2018-01-13T10:00:00Z,697103
Preemptive,2018-01-13T10:00:00Z,38520
Replication,2018-01-13T10:00:00Z,0
SQL CLR,2018-01-13T10:00:00Z,0
Service Broker,2018-01-13T10:00:00Z,0
Tracing,2018-01-13T10:00:00Z,432
Tran Log IO,2018-01-13T10:00:00Z,1150686
Transaction,2018-01-13T10:00:00Z,0
Worker Thread,2018-01-13T10:00:00Z,14
Buffer IO,2018-01-13T11:00:00Z,295612
Buffer Latch,2018-01-13T11:00:00Z,10405
CPU,2018-01-13T11:00:00Z,2193729
